time_index,time_since_epoch_ns,fstate_size_min,fstate_size_max,fstate_size_mean,fstate_size_median,fstate_size_p95,fstate_size_count,stretch_hop_min,stretch_hop_max,stretch_hop_mean,stretch_hop_median,stretch_hop_p95,stretch_hop_count,stretch_dist_min,stretch_dist_max,stretch_dist_mean,stretch_dist_median,stretch_dist_p95,stretch_dist_count,compute_time_ms
0,0,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.3354614838426768,1.0767602605929978,1.059790227501034,1.2275241128953074,552,1591.8540060520172
1,300000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.3433933558314992,1.0758945274544447,1.0628856317431703,1.2172976542168805,552,1557.26008862257
2,600000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.3295404667797945,1.0791338226261424,1.0596282894469595,1.2465425226331088,552,1560.1759478449821
3,900000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.3243109508052202,1.0719532768699094,1.0486553263645277,1.2312763674794704,552,1569.8353797197342
4,1200000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.3484245835652091,1.0754971216659688,1.0545704083140073,1.2247786038553714,552,1573.2877403497696
5,1500000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999996,1.3328847359465512,1.0753381346398985,1.052152261300624,1.2384597532778003,552,1584.66225117445
6,1800000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.3026137951518815,1.0662895307814262,1.0416019694902376,1.2075883418582176,552,1580.394595861435
7,2100000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.3266062073009885,1.0719777338336245,1.0432399650351967,1.2283508189127927,552,1584.6216157078743
8,2400000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.3253403693270496,1.0715442228103804,1.0434565295414984,1.227500068762175,552,1564.5088702440262
9,2700000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.334676251096147,1.0692756891672281,1.0422059050923425,1.2188119893327163,552,1577.753521502018
10,3000000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.325455272605095,1.0725673014659067,1.043869791402828,1.2185038529442387,552,1589.1856476664543
11,3300000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.3121021227384457,1.0737067543462286,1.051178190864647,1.2182215674423775,552,1581.9068178534508
12,3600000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.3212304402643948,1.0783370331395175,1.0571068105353663,1.2268703713777214,552,1595.2873304486275
13,3900000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.3449175561829925,1.076528599411382,1.0602131021166339,1.2175532554530881,552,1576.2146189808846
14,4200000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999997,1.332126140019531,1.0774582770626213,1.0641380186897655,1.21190717799951,552,1569.0950527787209
15,4500000000000,3.0,3.0,3.0,3.0,3.0,1584,1.0,1.0,1.0,1.0,1.0,552,0.9999999999999998,1.3381308663377485,1.0782641018340569,1.0612319004797262,1.230782830236415,552,1577.5807350873947
